date,interest,value,Positive,Neutral,Negative
2019-04-11,0.05857142857142858,0.11180666666666667,0.0,0.6666666666666666,0.3333333333333333
2019-04-12,0.05571428571428571,0.10745666666666667,0.0,1.0,0.0
2019-04-13,0.05285714285714285,0.10579666666666666,0.5,0.25,0.25
2019-04-14,0.05,0.10713333333333333,0.0,0.0,1.0
2019-04-15,0.05,0.10657333333333334,0.5,0.5,0.0
2019-04-16,0.05,0.10477666666666668,,,
2019-04-17,0.05,0.10780666666666665,1.0,0.0,0.0
2019-04-18,0.05,0.11032000000000002,1.0,0.0,0.0
2019-04-19,0.05,0.11109333333333332,0.6666666666666666,0.3333333333333333,0.0
2019-04-20,0.05,0.11266000000000001,1.0,0.0,0.0
2019-04-21,0.05,0.11366666666666667,0.0,1.0,0.0
2019-04-22,0.051428571428571435,0.11202666666666668,0.5,0.5,0.0
2019-04-23,0.05285714285714285,0.11147666666666667,0.3333333333333333,0.5,0.16666666666666666
2019-04-24,0.05428571428571429,0.11070333333333333,0.5,0.5,0.0
2019-04-25,0.05571428571428571,0.10454666666666666,0.75,0.25,0.0
2019-04-26,0.05714285714285714,0.10003000000000001,1.0,0.0,0.0
2019-04-27,0.058571428571428566,0.09881666666666668,0.5,0.25,0.25
2019-04-28,0.06,0.09771999999999999,1.0,0.0,0.0
2019-04-29,0.06142857142857143,0.09878333333333333,1.0,0.0,0.0
2019-04-30,0.06285714285714286,0.10203666666666666,0.4,0.5,0.1
2019-05-01,0.0642857142857143,0.10383,0.5,0.5,0.0
2019-05-02,0.06571428571428571,0.10126333333333334,0.75,0.25,0.0
2019-05-03,0.06714285714285714,0.10213999999999998,0.3333333333333333,0.6666666666666666,0.0
2019-05-04,0.06857142857142856,0.10249000000000001,0.0,1.0,0.0
2019-05-05,0.07,0.10080666666666667,1.0,0.0,0.0
2019-05-06,0.07714285714285714,0.10206000000000003,0.25,0.75,0.0
2019-05-07,0.08428571428571428,0.10528333333333334,0.5,0.25,0.25
2019-05-08,0.09142857142857143,0.10839,0.5,0.16666666666666666,0.3333333333333333
2019-05-09,0.09857142857142857,0.10717999999999998,0.0,1.0,0.0
2019-05-10,0.1057142857142857,0.10648666666666667,0.6,0.4,0.0
2019-05-11,0.11285714285714285,0.11653000000000001,0.0,1.0,0.0
2019-05-12,0.12,0.12295333333333333,0.8333333333333334,0.16666666666666666,0.0
2019-05-13,0.11428571428571428,0.12466,0.625,0.25,0.125
2019-05-14,0.10857142857142858,0.13455666666666666,0.8,0.2,0.0
2019-05-15,0.10285714285714287,0.15028333333333335,0.6666666666666666,0.3333333333333333,0.0
2019-05-16,0.09714285714285716,0.16529,1.0,0.0,0.0
2019-05-17,0.09142857142857143,0.16246333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-05-18,0.08571428571428572,0.15162333333333333,0.6,0.4,0.0
2019-05-19,0.08,0.15808,1.0,0.0,0.0
2019-05-20,0.08,0.16273666666666667,0.6666666666666666,0.3333333333333333,0.0
2019-05-21,0.08,0.16091,0.42857142857142855,0.5714285714285714,0.0
2019-05-22,0.08,0.15781333333333336,1.0,0.0,0.0
2019-05-23,0.08,0.15506,0.625,0.375,0.0
2019-05-24,0.08,0.15823,0.5,0.5,0.0
2019-05-25,0.08,0.15866,0.6,0.4,0.0
2019-05-26,0.08,0.16160666666666665,0.6666666666666666,0.3333333333333333,0.0
2019-05-27,0.07857142857142857,0.16834000000000002,0.4,0.6,0.0
2019-05-28,0.07714285714285714,0.17266333333333334,0.8,0.2,0.0
2019-05-29,0.0757142857142857,0.17134666666666665,0.5,0.5,0.0
2019-05-30,0.07428571428571429,0.1672266666666667,0.5,0.5,0.0
2019-05-31,0.07285714285714286,0.16611,0.6,0.4,0.0
2019-06-01,0.07142857142857144,0.16624333333333333,0.5,0.5,0.0
2019-06-02,0.07,0.16424,1.0,0.0,0.0
2019-06-03,0.06857142857142856,0.16301666666666667,0.6666666666666666,0.3333333333333333,0.0
2019-06-04,0.06714285714285714,0.16021333333333332,1.0,0.0,0.0
2019-06-05,0.06571428571428571,0.15650999999999998,0.8,0.0,0.2
2019-06-06,0.0642857142857143,0.15534666666666666,0.5,0.5,0.0
2019-06-07,0.06285714285714286,0.15721333333333332,1.0,0.0,0.0
2019-06-08,0.06142857142857143,0.15215,0.0,0.5,0.5
2019-06-09,0.06,0.14520333333333335,,,
2019-06-10,0.0642857142857143,0.15058666666666667,0.5,0.0,0.5
2019-06-11,0.06857142857142856,0.15376333333333334,1.0,0.0,0.0
2019-06-12,0.07285714285714286,0.15778,0.6666666666666666,0.3333333333333333,0.0
2019-06-13,0.07714285714285714,0.16528000000000004,0.5,0.5,0.0
2019-06-14,0.08142857142857142,0.16856666666666667,1.0,0.0,0.0
2019-06-15,0.08571428571428572,0.17366333333333334,,,
2019-06-16,0.09,0.16110333333333332,1.0,0.0,0.0
2019-06-17,0.09571428571428571,0.1608433333333333,0.0,1.0,0.0
2019-06-18,0.10142857142857142,0.16359666666666667,0.5,0.5,0.0
2019-06-19,0.10714285714285714,0.16285,0.5,0.5,0.0
2019-06-20,0.11285714285714285,0.16496999999999998,,,
2019-06-21,0.11857142857142858,0.16786,0.0,0.0,1.0
2019-06-22,0.12428571428571429,0.18129,,,
2019-06-23,0.13,0.18479666666666666,0.0,1.0,0.0
2019-06-24,0.12571428571428572,0.16162,1.0,0.0,0.0
2019-06-25,0.12142857142857143,0.16261333333333333,0.6666666666666666,0.3333333333333333,0.0
2019-06-26,0.11714285714285716,0.20259666666666665,0.75,0.25,0.0
2019-06-27,0.11285714285714286,0.20297000000000004,1.0,0.0,0.0
2019-06-28,0.10857142857142858,0.19077333333333332,0.6666666666666666,0.3333333333333333,0.0
2019-06-29,0.10428571428571429,0.19764333333333337,0.75,0.25,0.0
2019-06-30,0.1,0.19478333333333334,1.0,0.0,0.0
2019-07-01,0.11,0.18535333333333331,0.0,1.0,0.0
2019-07-02,0.12,0.19017333333333333,0.75,0.25,0.0
2019-07-03,0.13,0.19484666666666667,0.75,0.25,0.0
2019-07-04,0.14,0.18371333333333334,0.5,0.5,0.0
2019-07-05,0.15,0.16727333333333333,0.5,0.0,0.5
2019-07-06,0.16,0.16494333333333333,0.5,0.5,0.0
2019-07-07,0.17,0.17214000000000002,0.0,1.0,0.0
2019-07-08,0.18,0.18549000000000002,0.0,0.0,1.0
